Pokemon;Numero;Type1;Type2;Name_Stream;Base_HP;Base_Atk;Base_Def;Base_SpA;Base_SpD;Base_Spe
Bulbizarre;0001;Grass;Poison;Bulbasaur;45;49;49;65;65;45
Herbizarre;0002;Grass;Poison;Ivysaur;60;62;63;80;80;60
Florizarre;0003;Grass;Poison;Venusaur;80;82;83;100;100;80
Salamèche;0004;Fire;Fire;Charmander;39;52;43;60;50;65
Reptincel;0005;Fire;Fire;Charmeleon;58;64;58;80;65;80
Dracaufeu;0006;Fire;Flying;Charizard;78;84;78;109;85;100
Mega Dracaufeu X;0006_01;Fire;Dragon;Charizard-Mega-X;78;130;111;130;85;100
Mega Dracaufeu Y;0006_02;Fire;Flying;Charizard-Mega-Y;78;104;78;159;115;100
Carapuce;0007;Water;Water;Squirtle;44;48;65;50;64;43
Carabaffe;0008;Water;Water;Wartortle;59;63;80;65;80;58
Tortank;0009;Water;Water;Blastoise;79;83;100;85;105;78
Mega Tortank;0009_01;;;;;;;;;
Chenipan;0010;Bug;Bug;Caterpie;45;30;35;20;20;45
Chrysacier;0011;Bug;Bug;Metapod;50;20;55;25;25;30
Papilusion;0012;Bug;Flying;Butterfree;60;45;50;90;80;70
Aspicot;0013;Bug;Poison;Weedle;40;35;30;20;20;50
Coconfort;0014;Bug;Poison;Kakuna;45;25;50;25;25;35
Dardargnan;0015;Bug;Poison;Beedrill;65;90;40;45;80;75
Roucool;0016;Normal;Flying;Pidgey;40;45;40;35;35;56
Roucoups;0017;Normal;Flying;Pidgeotto;63;60;55;50;50;71
Roucarnage;0018;Normal;Flying;Pidgeot;83;80;75;70;70;101
Mega Roucarnage;0018_01;;;;;;;;;
Rattata;0019;Normal;Normal;Rattata;30;56;35;25;35;72
Rattata d'Alola;0019_01;Dark;Normal;Rattata-Alola;30;56;35;25;35;72
Rattatac;0020;Normal;Normal;Raticate;55;81;60;50;70;97
Rattatac d'Alola;0020_01;Dark;Normal;Raticate-Alola;75;71;70;40;80;77
Piafabec;0021;Normal;Flying;Spearow;40;60;30;31;31;70
Rapasdepic;0022;Normal;Flying;Fearow;65;90;65;61;61;100
Abo;0023;Poison;Poison;Ekans;35;60;44;40;54;55
Arbok;0024;Poison;Poison;Arbok;60;95;69;65;79;80
Pikachu;0025;Electric;Electric;Pikachu;35;55;40;50;50;90
Raichu;0026;Electric;Electric;Raichu;60;90;55;90;80;110
Raichu d'Alola;0026_01;Electric;Psychic;Raichu-Alola;60;85;50;95;85;110
Sabelette;0027;Ground;Ground;Sandshrew;50;75;85;20;30;40
Sabelette d'Alola;0027_01;Ice;Steel;Sandshrew-Alola;50;75;90;10;35;40
Sablaireau;0028;Ground;Ground;Sandslash;75;100;110;45;55;65
Sablaireau d'Alola;0028_01;Ice;Steel;Sandslash-Alola;75;100;120;25;65;65
Nidoran F;0029;Poison;Poison;Nidoran-M;55;47;52;40;40;41
Nidorina;0030;Poison;Poison;Nidorina;70;62;67;55;55;56
Nidoqueen;0031;Poison;Ground;Nidoqueen;90;92;87;75;85;76
